시도,구군,행정구역명,하수처리장명,하수처리 시설용량,처리구역면적_합,처리구역면적_합류식,처리구역면적_분류식,분류식화율,배수설비_합계(개소),배수설비_합류식(개소),배수설비_분류식합계(개소),배수설비_분류식연결(개소),배수설비_분류식미연결(개소),하수관로_총시설연장,하수관로_차집_오수간선합계,하수관로_차집,하수관로_오수간선,하수관로_합류식우수토실(개소),하수관로_분류식우수토실(개소),하수관로_분류식우수토구(개소),하수관로_지선합계,하수관로_지선합류식,하수관로_지선분류식우수,하수관로_지선분류식오수
대구광역시,달성군,달성군,다사 달천,80,0.09,0,0.09,100,152,0,152,152,0,2114,0,0,0,0,0,0,2114,0,0,2114
대구광역시,달성군,달성군,하빈 상당,35,0.05,0,0.05,100,49,0,49,49,0,2250,0,0,0,0,0,0,2250,0,1020,1230
대구광역시,달성군,달성군,가창 삼산,470,0.37,0,0.37,100,552,0,552,552,0,9100,0,0,0,0,0,0,9100,0,0,9100
대구광역시,달성군,달성군,현풍 자모,55,0.06,0,0.06,100,72,0,72,72,0,1376,0,0,0,0,0,0,1376,0,0,1376
대구광역시,달성군,달성군,하빈 현내,170,0.44,0,0.44,100,270,0,270,270,0,10522,0,0,0,0,0,0,10522,0,0,10522
대구광역시,달성군,달성군,하빈 묘리,40,0.07,0,0.07,100,99,0,99,99,0,1622,0,0,0,0,0,0,1622,0,0,1622
대구광역시,달성군,달성군,다사 이천,100,0.11,0,0.11,100,197,0,197,197,0,2606,0,0,0,0,0,0,2606,0,0,2606
대구광역시,달성군,달성군,현풍,23000,6.49,0,6.49,100,9413,0,9413,9413,0,277665.3,26716.3,26005.3,711,34,0,0,250949,54903,79138,116908
대구광역시,달성군,달성군,신천,680000,1.01,0,1.01,100,1662,0,1662,1662,0,87951,6315,6315,0,147,0,0,81636,55124,3682,22830
대구광역시,달성군,달성군,다사 박곡,75,0.08,0,0.08,100,140,0,140,140,0,1868,0,0,0,0,0,0,1868,0,0,1868
대구광역시,달성군,달성군,구지 도동,30,0.02,0,0.02,100,35,0,35,35,0,900,0,0,0,0,0,0,900,0,408,492
인천광역시,중구,중구,가좌,350000,4.1,0,4.1,100,0,0,0,0,0,162685,0,0,0,5,0,0,162685,162685,0,0
인천광역시,중구,중구,운북,23000,9,0,9,100,0,0,0,0,0,135349,0,0,0,7,0,0,135349,0,73840,61509
인천광역시,중구,중구,남항,125000,5.4,0,5.4,100,0,0,0,0,0,122012,0,0,0,21,0,0,122012,122012,0,0
인천광역시,중구,중구,영종지소(영종수질복원센터),24000,3.9,0,3.9,100,0,0,0,0,0,178060,0,0,0,9,0,0,178060,0,101560,76500
인천광역시,중구,중구,송산,30000,4.4,0,4.4,100,0,0,0,0,0,122150,0,0,0,5,0,0,122150,0,83650,38500
인천광역시,동구,동구,가좌,350000,5,5,0,0,0,0,0,0,0,188865.43,3856.38,3856.38,0,8,0,0,185009.05,185009.05,0,0
인천광역시,미추홀구,미추홀구,승기,275000,18.195,13.5,4.695,25.8,0,0,0,0,0,449430,4250,4250,0,0,0,0,445180,382230,42070,20880
인천광역시,미추홀구,미추홀구,가좌,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,미추홀구,미추홀구,남항,125000,6.805,3.83,2.975,43.7,0,0,0,0,0,144135,1410,1410,0,0,0,0,142725,121745,14020,6960
인천광역시,연수구,연수구,남항,125000,3.214,0,3.214,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,연수구,연수구,송도 제1,30000,10.345,0,10.345,100,0,0,0,0,0,296409,4960,0,4960,0,0,9,291449,0,176763,114686
인천광역시,연수구,연수구,송도 제2,42500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,연수구,연수구,승기,275000,12.541,0.581,11.96,95.4,0,0,0,0,0,417493,9235,6695,2540,3,0,28,408258,61205,183026,164027
