"시설별(1)","시설별(2)",시설별(3),자치구별(1),자치구별(2),2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"합류식 (m)","계획연장",소계,합계,강북구,-,-,-,-,317031,317445,317918,317215,317973,317233,326472,329068,327992,329985,328836,329140,329140,329140,349850,349629,349736
"합류식 (m)","계획연장",소계,합계,도봉구,-,-,-,-,231713,231921,231921,231921,231921,232390,227846,269343,268617,269917,270082,270082,270082,270082,299909,303193,303246
"합류식 (m)","계획연장",소계,합계,노원구,-,-,-,-,354421,354488,356036,356856,356781,356781,352016,326687,318726,321025,322239,322239,322239,322239,354115,355942,355937
"합류식 (m)","계획연장",소계,합계,은평구,-,-,-,-,470212,470733,470791,470791,470071,460278,412669,446089,444908,400781,398851,398851,398851,398851,408814,417699,413474
"합류식 (m)","계획연장",소계,합계,서대문구,-,-,-,-,396328,396600,394892,394892,397409,399259,338154,338687,334442,317813,312745,312863,312863,312863,327011,325861,325849
"합류식 (m)","계획연장",소계,합계,마포구,-,-,-,-,409137,409197,409304,409304,409304,409974,396857,402997,406147,399178,394046,393953,393953,393953,413133,411967,412352
"합류식 (m)","계획연장",소계,합계,양천구,-,-,-,-,209295,209488,210246,210246,210388,210388,314420,317330,326406,330234,326721,326452,326452,326452,324152,324152,324152
"합류식 (m)","계획연장",소계,합계,강서구,-,-,-,-,384071,385505,386192,386715,387025,387595,390089,317330,376422,375893,382022,382022,382022,382022,395167,396414,398251
"합류식 (m)","계획연장",소계,합계,구로구,-,-,-,-,299634,300578,300946,301211,301211,301983,350163,352418,350420,352059,353563,353625,353625,353625,359907,358585,359023
"합류식 (m)","계획연장",소계,합계,금천구,-,-,-,-,231888,231888,231888,231888,231888,231896,232990,230960,235292,239867,229744,229872,229872,229872,240228,240210,240292
"합류식 (m)","계획연장",소계,합계,영등포구,-,-,-,-,444095,444933,445466,447182,447659,447854,462016,461233,466298,468066,463568,464094,464094,464094,489247,485904,481385
"합류식 (m)","계획연장",소계,합계,동작구,-,-,-,-,310265,309446,309501,309525,310030,310030,330226,328601,325662,326533,325611,325618,325618,325618,325618,325618,325618
"합류식 (m)","계획연장",소계,합계,관악구,-,-,-,-,393040,393194,393339,393282,392963,394297,399999,399035,403912,406460,403259,405031,405031,405031,419133,415280,415599
"합류식 (m)","계획연장",소계,합계,서초구,-,-,-,-,329755,329880,330340,330403,330403,331434,477470,482694,483014,480347,481072,481322,481322,481322,494961,494782,487030
"합류식 (m)","계획연장",소계,합계,강남구,-,-,-,-,494964,494964,495179,495179,495581,495786,565359,565198,565902,568398,569222,569742,569742,569742,600387,599266,582104
"합류식 (m)","계획연장",소계,합계,송파구,-,-,-,-,318353,318606,318606,318606,318606,318606,362552,397958,398160,416910,416724,416724,416724,416724,437563,433222,429895
"합류식 (m)","계획연장",소계,합계,강동구,-,-,-,-,291407,291613,293240,293472,293472,293890,331128,359655,355331,355931,353788,353060,353060,353060,372623,372767,372805
"합류식 (m)","계획연장",소계,합계,중랑처리장,-,-,-,-,-,-,-,-,-,-,142283,182959,195422,195448,197960,197969,-,-,-,-,-
"합류식 (m)","계획연장",소계,합계,탄천처리장,-,-,-,-,-,-,-,-,-,-,88610,97382,102923,104169,101148,109589,-,-,-,-,-
"합류식 (m)","계획연장",소계,합계,서남처리장,-,-,-,-,-,-,-,-,-,-,90667,94487,102717,102978,109317,108595,-,-,-,-,-
"합류식 (m)","계획연장",소계,합계,난지처리장,-,-,-,-,-,-,-,-,-,-,93299,93299,96613,99326,108619,101148,-,-,-,-,-
"합류식 (m)","시설연장",소계,합계,소계,8709062,8731933,8763778,8788750,8804577,8812469,8817685,8818576,8820387,8819303,9527509,9572652,9673354,9651045,9631946,9640641,9545036,9525602,9514471,9505253,9453039
"합류식 (m)","시설연장",소계,합계,종로구,-,-,-,-,393911,394186,394186,394289,395680,397326,362172,320232,322260,322180,322565,319870,340734,340191,340525,340876,333900
"합류식 (m)","시설연장",소계,합계,중구,-,-,-,-,265887,265887,265887,265887,265887,266177,262308,263415,265792,264400,260785,258634,265459,265651,264470,264888,264866
"합류식 (m)","시설연장",소계,합계,용산구,-,-,-,-,361079,361204,361411,362209,362965,363594,348630,331705,332856,336052,335026,334085,350395,350206,354498,354954,354593
